http://sports.sina.com.cn/china/afccl/2015-11-08/doc-ifxkniur2960287.shtml
亚冠-黄博文中楣高拉特伤退 恒大客场0-0阿赫利_亚冠_新浪竞技风暴_新浪网
2015-11-08
//beacon.sina.com.cn/a.gif?noScript	亚冠-黄博文中楣高拉特伤退 恒大客场0-0阿赫利_亚冠_新浪竞技风暴_新浪网
http://www.sinaimg.cn/ty/main/logo/logo_home_sports_nonike.gif	新浪体育
http://p.v.iask.com/video/249/930/808/249930808_400_300.jpg	恒大0-0阿赫利
http://p.v.iask.com/video/249/930/835/249930835_400_300.jpg	全景回顾亚冠决赛首战
http://p.v.iask.com/video/249/930/825/249930825_400_300.jpg	郜林争执倒地造红牌
http://p.v.iask.com/video/249/930/796/249930796_400_300.jpg	高拉特遭铲抢膝盖扭伤
http://p.v.iask.com/video/249/930/788/249930788_400_300.jpg	黄博文禁区爆射中横梁
http://p.v.iask.com/video/249/930/728/249930728_400_300.jpg	广告碍事小黄无奈短传
http://p.v.iask.com/video/249/930/803/249930803_400_300.jpg	曾诚神反应力扑保城门
http://p.v.iask.com/video/249/930/762/249930762_400_300.jpg	曾诚神勇双掌力扑护主
http://p.v.iask.com/video/249/930/730/249930730_400_300.jpg	保利尼奥劲射中擦柱偏出
http://p.v.iask.com/video/249/930/734/249930734_400_300.jpg	郑智外围撩射落叶球
http://k.sinaimg.cn/n/transform/20151108/6XQU-fxknutf1600127.jpg/w57026b.jpg	高拉特伤情牵动恒大球迷心
http://n.sinaimg.cn/transform/20151108/xoxQ-fxknius9737568.jpg	亚冠-黄博文中楣高拉特伤退 恒大客场0-0阿赫利
http://www.sinaimg.cn/dy/deco/2014/0312/sc_img/sc_img.png	已收藏!您可通过新浪首页(www.sina.com.cn)顶部 “我的收藏”， 查看所有收藏过的文章。知道了
