http://sports.sina.com.cn/o/2003-11-14/2240658685.shtml
唤起曾经记忆回首辉煌岁月-女排五连冠老照片回顾_综合体育_新浪竞技风暴_新浪网
2003-11-14
//beacon.sina.com.cn/a.gif?noScript	唤起曾经记忆回首辉煌岁月-女排五连冠老照片回顾_综合体育_新浪竞技风暴_新浪网
http://i3.sinaimg.cn/ty/main/logo/logo_home_sports_nonike.gif	新浪体育
http://i3.sinaimg.cn/ty/o/2003-11-14/1_6-12-44_20031114224550.jpg	81年世界杯首次夺冠
http://i3.sinaimg.cn/ty/up/1_6-64-1094-4389_2003111422432.jpg	登上领奖台
http://i1.sinaimg.cn/ty/up/1_6-64-1322_20031114224927.jpg	欢欣雀跃
http://i1.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3021_2003111422814_small_h.jpg	袁伟民场外指导
http://i0.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3024_2003111422814_small_h.jpg	拥抱奖杯
http://i1.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3027-320_20031114215913_small_h.jpg	郎平梁艳双快
http://i0.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3015_20031114222111_small_h.jpg	奥运风采
http://i3.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3018_20031114221435_small_h.jpg	领奖台上
http://i2.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3021_20031114221436_small_h.jpg	激动时刻
http://i0.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3015_20031114222735_small_h.jpg	郎平英姿
http://i0.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3018_20031114222736_small_h.jpg	领奖台上
http://i3.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3021_20031114222737_small_h.jpg	梁艳风采
http://i3.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3015_20031114223212_small_h.jpg	领奖台上
http://i3.sinaimg.cn/ty/pc/2003-11-14/136/1_6-136-3018_20031114223213_small_h.jpg	欢呼雀跃
http://i0.sinaimg.cn/dy/deco/2014/0312/sc_img/sc_img.png	已收藏!您可通过新浪首页(www.sina.com.cn)顶部 “我的收藏”， 查看所有收藏过的文章。知道了
http://61.adsina.allyes.com/main/adfshow?user=AFP6_for_SINA|Sports|SportsPIP&db=sina	唤起曾经记忆回首辉煌岁月-女排五连冠老照片回顾_综合体育_新浪竞技风暴_新浪网
