http://sports.sina.com.cn/outdoor/2017-06-01/doc-ifyfuzym7497598.shtml
9个理由！为什么说标铁是首铁的最佳选择_户外频道_新浪竞技风暴_新浪网
2017-06-01
//beacon.sina.com.cn/a.gif?noScript	9个理由！为什么说标铁是首铁的最佳选择_户外频道_新浪竞技风暴_新浪网
http://i.sso.sina.com.cn/images/login/thumb_default.png	9个理由！为什么说标铁是首铁的最佳选择_户外频道_新浪竞技风暴_新浪网
http://n.sinaimg.cn/sports/transform/20170601/6gwM-fyfuzpn2358432.jpg	初铁挑战者来说，奥运会标准距离的铁三赛才是适宜的距离
http://n.sinaimg.cn/sports/crawl/20170601/Nd9F-fyfuzmy0372695.jpg	　　当人们提到“铁人”这个词时，首先想到的应该是那长达226公里的漫长路程，以及为了抵达终点而需要历经的艰辛。　　是的，完成IRONMAN大铁意味着赢得非凡的成就，是一种极高的荣誉，但并不意味着所有的人都应该成为大铁的拥趸，毕竟门槛实在太高了。　　对于普通人特别是初铁挑战者来说，奥运会标准距离的铁三赛才是比较适宜的距离，9个理由告诉你为什么。　　1。颇具挑战　　很多新人的第一次铁三比赛都会选择难度更小距离，标铁成为理所当然的选择。标铁距离为1.5公里游泳、40公里自行车、10公里跑步，这个距离对于普通人而言足够具有挑战性，因为在耐力的基础上想要追求速度的突破并不是一件容易的事。　　2。精进你的比赛技巧　　当铁三对于比赛技巧也有一定要求。特别是标铁距离，比赛节奏相对紧凑，想要赢得比赛必须争分夺秒。举个例子，如果换项的时候过于拖沓没有条理，可能就会导致你在前一项比赛中建立的优势丧失殆尽。同样的，配速和能量补给也需要制定相应的策略。简单来说，就能力不变的情况下，熟练掌握比赛技巧也会让你成绩更好。　　3。方便　　很多地方性的铁三赛事都是以标铁距离为主。所以铁三爱好者可以选择就近参赛，不必拖着行李长途跋涉，免除了舟车劳顿。比赛当天也不必起的特别早（很多长距离铁三赛，选手早上四点多就要起床准备），基本上中午之前就可以结束战斗，下午安排返程，不耽误正常的工作生活。　　4。相对花钱少　　无需多言，就报名费这一项，标铁距离比赛就比长距离铁三赛便宜得多。而且你用入门级装备就可以顺利完赛。不过……当你完成过几场比赛后，肯定也会有升级装备的想法（谁会不喜欢更炫酷的新装备呢？）。　　5。竞争更激烈　　长距离铁三赛，因为参与的人数有限，加上赛道长、时间跨度大，更多时候是“一个人的战斗”。而标铁赛事拥有庞大的参与人群，比赛场地相对集中，所以大家都会产生比较强的竞争意识，你追我赶的拉扯非常常见。　　况且绝大多数选手都是经过了长期的训练准备，为了争夺更好的成绩和名次都会尽全力。与和自己实力相仿的选手过招，也会驱使自己有更好的运动表现。　　6。自我检测　　对于一个新手来说，跑10公里可能不是什么难事，可是在跑步前面加上游泳和骑车两项呢？最后跑起来会感觉腿沉如铁。通过比赛你会找出自己的不足，然后进行训练提升。当比赛时经历一些痛苦，冲过终点线后的那份喜悦也会更加甜美。　　7。狂傲　　没错，铁三是一项具有包容性并且友善的运动，但一点点的“狂傲”可以让我们在比赛中更有信心。可能赛前还有些小紧张，下水后就奔着前面的浮标游，拿出勇往直前舍我其谁的态度！自行车和跑步也是如此，就是跟赛道、跟对手、跟自己死磕！标铁距离的比赛其实就该这么拼。　　8。更多加油和欢呼　　很多标铁赛事的赛道都是绕圈赛，比赛场地相对集中，这样就方便观众们集中观看比赛，为选手加油呐喊。特别是有家人朋友到现场给自己加油，比赛中能够很多次看到他们也是对自己的一种鼓励。当然，终点冲线时那山呼海啸般的喝彩欢呼声更是让人疯狂和激动，感觉自己就像明星一样！　　9。分泌更多内啡肽　　不管你现在是什么样的竞技水平，完成一场标铁对体能都是一次扎实的考验。冲过终点线，你会感觉精疲力尽、浑身酸痛，甚至有些脱水，但是这一切你都会觉得值，所有的训练和付出都没有白费。也许你自己还没有意识到，这场比赛的终点其实就是你下一场比赛的起点。　　文章来源：active.com　　翻译：全球铁三
http://n.sinaimg.cn/sports/crawl/20170601/2uw9-fyfuzmy0372701.jpg	　　当人们提到“铁人”这个词时，首先想到的应该是那长达226公里的漫长路程，以及为了抵达终点而需要历经的艰辛。　　是的，完成IRONMAN大铁意味着赢得非凡的成就，是一种极高的荣誉，但并不意味着所有的人都应该成为大铁的拥趸，毕竟门槛实在太高了。　　对于普通人特别是初铁挑战者来说，奥运会标准距离的铁三赛才是比较适宜的距离，9个理由告诉你为什么。　　1。颇具挑战　　很多新人的第一次铁三比赛都会选择难度更小距离，标铁成为理所当然的选择。标铁距离为1.5公里游泳、40公里自行车、10公里跑步，这个距离对于普通人而言足够具有挑战性，因为在耐力的基础上想要追求速度的突破并不是一件容易的事。　　2。精进你的比赛技巧　　当铁三对于比赛技巧也有一定要求。特别是标铁距离，比赛节奏相对紧凑，想要赢得比赛必须争分夺秒。举个例子，如果换项的时候过于拖沓没有条理，可能就会导致你在前一项比赛中建立的优势丧失殆尽。同样的，配速和能量补给也需要制定相应的策略。简单来说，就能力不变的情况下，熟练掌握比赛技巧也会让你成绩更好。　　3。方便　　很多地方性的铁三赛事都是以标铁距离为主。所以铁三爱好者可以选择就近参赛，不必拖着行李长途跋涉，免除了舟车劳顿。比赛当天也不必起的特别早（很多长距离铁三赛，选手早上四点多就要起床准备），基本上中午之前就可以结束战斗，下午安排返程，不耽误正常的工作生活。　　4。相对花钱少　　无需多言，就报名费这一项，标铁距离比赛就比长距离铁三赛便宜得多。而且你用入门级装备就可以顺利完赛。不过……当你完成过几场比赛后，肯定也会有升级装备的想法（谁会不喜欢更炫酷的新装备呢？）。　　5。竞争更激烈　　长距离铁三赛，因为参与的人数有限，加上赛道长、时间跨度大，更多时候是“一个人的战斗”。而标铁赛事拥有庞大的参与人群，比赛场地相对集中，所以大家都会产生比较强的竞争意识，你追我赶的拉扯非常常见。　　况且绝大多数选手都是经过了长期的训练准备，为了争夺更好的成绩和名次都会尽全力。与和自己实力相仿的选手过招，也会驱使自己有更好的运动表现。　　6。自我检测　　对于一个新手来说，跑10公里可能不是什么难事，可是在跑步前面加上游泳和骑车两项呢？最后跑起来会感觉腿沉如铁。通过比赛你会找出自己的不足，然后进行训练提升。当比赛时经历一些痛苦，冲过终点线后的那份喜悦也会更加甜美。　　7。狂傲　　没错，铁三是一项具有包容性并且友善的运动，但一点点的“狂傲”可以让我们在比赛中更有信心。可能赛前还有些小紧张，下水后就奔着前面的浮标游，拿出勇往直前舍我其谁的态度！自行车和跑步也是如此，就是跟赛道、跟对手、跟自己死磕！标铁距离的比赛其实就该这么拼。　　8。更多加油和欢呼　　很多标铁赛事的赛道都是绕圈赛，比赛场地相对集中，这样就方便观众们集中观看比赛，为选手加油呐喊。特别是有家人朋友到现场给自己加油，比赛中能够很多次看到他们也是对自己的一种鼓励。当然，终点冲线时那山呼海啸般的喝彩欢呼声更是让人疯狂和激动，感觉自己就像明星一样！　　9。分泌更多内啡肽　　不管你现在是什么样的竞技水平，完成一场标铁对体能都是一次扎实的考验。冲过终点线，你会感觉精疲力尽、浑身酸痛，甚至有些脱水，但是这一切你都会觉得值，所有的训练和付出都没有白费。也许你自己还没有意识到，这场比赛的终点其实就是你下一场比赛的起点。　　文章来源：active.com　　翻译：全球铁三
http://n.sinaimg.cn/sports/crawl/20170601/DfTL-fyfuzmy0372710.jpg	　　当人们提到“铁人”这个词时，首先想到的应该是那长达226公里的漫长路程，以及为了抵达终点而需要历经的艰辛。　　是的，完成IRONMAN大铁意味着赢得非凡的成就，是一种极高的荣誉，但并不意味着所有的人都应该成为大铁的拥趸，毕竟门槛实在太高了。　　对于普通人特别是初铁挑战者来说，奥运会标准距离的铁三赛才是比较适宜的距离，9个理由告诉你为什么。　　1。颇具挑战　　很多新人的第一次铁三比赛都会选择难度更小距离，标铁成为理所当然的选择。标铁距离为1.5公里游泳、40公里自行车、10公里跑步，这个距离对于普通人而言足够具有挑战性，因为在耐力的基础上想要追求速度的突破并不是一件容易的事。　　2。精进你的比赛技巧　　当铁三对于比赛技巧也有一定要求。特别是标铁距离，比赛节奏相对紧凑，想要赢得比赛必须争分夺秒。举个例子，如果换项的时候过于拖沓没有条理，可能就会导致你在前一项比赛中建立的优势丧失殆尽。同样的，配速和能量补给也需要制定相应的策略。简单来说，就能力不变的情况下，熟练掌握比赛技巧也会让你成绩更好。　　3。方便　　很多地方性的铁三赛事都是以标铁距离为主。所以铁三爱好者可以选择就近参赛，不必拖着行李长途跋涉，免除了舟车劳顿。比赛当天也不必起的特别早（很多长距离铁三赛，选手早上四点多就要起床准备），基本上中午之前就可以结束战斗，下午安排返程，不耽误正常的工作生活。　　4。相对花钱少　　无需多言，就报名费这一项，标铁距离比赛就比长距离铁三赛便宜得多。而且你用入门级装备就可以顺利完赛。不过……当你完成过几场比赛后，肯定也会有升级装备的想法（谁会不喜欢更炫酷的新装备呢？）。　　5。竞争更激烈　　长距离铁三赛，因为参与的人数有限，加上赛道长、时间跨度大，更多时候是“一个人的战斗”。而标铁赛事拥有庞大的参与人群，比赛场地相对集中，所以大家都会产生比较强的竞争意识，你追我赶的拉扯非常常见。　　况且绝大多数选手都是经过了长期的训练准备，为了争夺更好的成绩和名次都会尽全力。与和自己实力相仿的选手过招，也会驱使自己有更好的运动表现。　　6。自我检测　　对于一个新手来说，跑10公里可能不是什么难事，可是在跑步前面加上游泳和骑车两项呢？最后跑起来会感觉腿沉如铁。通过比赛你会找出自己的不足，然后进行训练提升。当比赛时经历一些痛苦，冲过终点线后的那份喜悦也会更加甜美。　　7。狂傲　　没错，铁三是一项具有包容性并且友善的运动，但一点点的“狂傲”可以让我们在比赛中更有信心。可能赛前还有些小紧张，下水后就奔着前面的浮标游，拿出勇往直前舍我其谁的态度！自行车和跑步也是如此，就是跟赛道、跟对手、跟自己死磕！标铁距离的比赛其实就该这么拼。　　8。更多加油和欢呼　　很多标铁赛事的赛道都是绕圈赛，比赛场地相对集中，这样就方便观众们集中观看比赛，为选手加油呐喊。特别是有家人朋友到现场给自己加油，比赛中能够很多次看到他们也是对自己的一种鼓励。当然，终点冲线时那山呼海啸般的喝彩欢呼声更是让人疯狂和激动，感觉自己就像明星一样！　　9。分泌更多内啡肽　　不管你现在是什么样的竞技水平，完成一场标铁对体能都是一次扎实的考验。冲过终点线，你会感觉精疲力尽、浑身酸痛，甚至有些脱水，但是这一切你都会觉得值，所有的训练和付出都没有白费。也许你自己还没有意识到，这场比赛的终点其实就是你下一场比赛的起点。　　文章来源：active.com　　翻译：全球铁三
http://n.sinaimg.cn/sports/crawl/20170601/NApH-fyfuzmy0372714.jpg	　　当人们提到“铁人”这个词时，首先想到的应该是那长达226公里的漫长路程，以及为了抵达终点而需要历经的艰辛。　　是的，完成IRONMAN大铁意味着赢得非凡的成就，是一种极高的荣誉，但并不意味着所有的人都应该成为大铁的拥趸，毕竟门槛实在太高了。　　对于普通人特别是初铁挑战者来说，奥运会标准距离的铁三赛才是比较适宜的距离，9个理由告诉你为什么。　　1。颇具挑战　　很多新人的第一次铁三比赛都会选择难度更小距离，标铁成为理所当然的选择。标铁距离为1.5公里游泳、40公里自行车、10公里跑步，这个距离对于普通人而言足够具有挑战性，因为在耐力的基础上想要追求速度的突破并不是一件容易的事。　　2。精进你的比赛技巧　　当铁三对于比赛技巧也有一定要求。特别是标铁距离，比赛节奏相对紧凑，想要赢得比赛必须争分夺秒。举个例子，如果换项的时候过于拖沓没有条理，可能就会导致你在前一项比赛中建立的优势丧失殆尽。同样的，配速和能量补给也需要制定相应的策略。简单来说，就能力不变的情况下，熟练掌握比赛技巧也会让你成绩更好。　　3。方便　　很多地方性的铁三赛事都是以标铁距离为主。所以铁三爱好者可以选择就近参赛，不必拖着行李长途跋涉，免除了舟车劳顿。比赛当天也不必起的特别早（很多长距离铁三赛，选手早上四点多就要起床准备），基本上中午之前就可以结束战斗，下午安排返程，不耽误正常的工作生活。　　4。相对花钱少　　无需多言，就报名费这一项，标铁距离比赛就比长距离铁三赛便宜得多。而且你用入门级装备就可以顺利完赛。不过……当你完成过几场比赛后，肯定也会有升级装备的想法（谁会不喜欢更炫酷的新装备呢？）。　　5。竞争更激烈　　长距离铁三赛，因为参与的人数有限，加上赛道长、时间跨度大，更多时候是“一个人的战斗”。而标铁赛事拥有庞大的参与人群，比赛场地相对集中，所以大家都会产生比较强的竞争意识，你追我赶的拉扯非常常见。　　况且绝大多数选手都是经过了长期的训练准备，为了争夺更好的成绩和名次都会尽全力。与和自己实力相仿的选手过招，也会驱使自己有更好的运动表现。　　6。自我检测　　对于一个新手来说，跑10公里可能不是什么难事，可是在跑步前面加上游泳和骑车两项呢？最后跑起来会感觉腿沉如铁。通过比赛你会找出自己的不足，然后进行训练提升。当比赛时经历一些痛苦，冲过终点线后的那份喜悦也会更加甜美。　　7。狂傲　　没错，铁三是一项具有包容性并且友善的运动，但一点点的“狂傲”可以让我们在比赛中更有信心。可能赛前还有些小紧张，下水后就奔着前面的浮标游，拿出勇往直前舍我其谁的态度！自行车和跑步也是如此，就是跟赛道、跟对手、跟自己死磕！标铁距离的比赛其实就该这么拼。　　8。更多加油和欢呼　　很多标铁赛事的赛道都是绕圈赛，比赛场地相对集中，这样就方便观众们集中观看比赛，为选手加油呐喊。特别是有家人朋友到现场给自己加油，比赛中能够很多次看到他们也是对自己的一种鼓励。当然，终点冲线时那山呼海啸般的喝彩欢呼声更是让人疯狂和激动，感觉自己就像明星一样！　　9。分泌更多内啡肽　　不管你现在是什么样的竞技水平，完成一场标铁对体能都是一次扎实的考验。冲过终点线，你会感觉精疲力尽、浑身酸痛，甚至有些脱水，但是这一切你都会觉得值，所有的训练和付出都没有白费。也许你自己还没有意识到，这场比赛的终点其实就是你下一场比赛的起点。　　文章来源：active.com　　翻译：全球铁三
http://n.sinaimg.cn/sports/crawl/20170601/w8vT-fyfrfvv5510143.jpg	　　当人们提到“铁人”这个词时，首先想到的应该是那长达226公里的漫长路程，以及为了抵达终点而需要历经的艰辛。　　是的，完成IRONMAN大铁意味着赢得非凡的成就，是一种极高的荣誉，但并不意味着所有的人都应该成为大铁的拥趸，毕竟门槛实在太高了。　　对于普通人特别是初铁挑战者来说，奥运会标准距离的铁三赛才是比较适宜的距离，9个理由告诉你为什么。　　1。颇具挑战　　很多新人的第一次铁三比赛都会选择难度更小距离，标铁成为理所当然的选择。标铁距离为1.5公里游泳、40公里自行车、10公里跑步，这个距离对于普通人而言足够具有挑战性，因为在耐力的基础上想要追求速度的突破并不是一件容易的事。　　2。精进你的比赛技巧　　当铁三对于比赛技巧也有一定要求。特别是标铁距离，比赛节奏相对紧凑，想要赢得比赛必须争分夺秒。举个例子，如果换项的时候过于拖沓没有条理，可能就会导致你在前一项比赛中建立的优势丧失殆尽。同样的，配速和能量补给也需要制定相应的策略。简单来说，就能力不变的情况下，熟练掌握比赛技巧也会让你成绩更好。　　3。方便　　很多地方性的铁三赛事都是以标铁距离为主。所以铁三爱好者可以选择就近参赛，不必拖着行李长途跋涉，免除了舟车劳顿。比赛当天也不必起的特别早（很多长距离铁三赛，选手早上四点多就要起床准备），基本上中午之前就可以结束战斗，下午安排返程，不耽误正常的工作生活。　　4。相对花钱少　　无需多言，就报名费这一项，标铁距离比赛就比长距离铁三赛便宜得多。而且你用入门级装备就可以顺利完赛。不过……当你完成过几场比赛后，肯定也会有升级装备的想法（谁会不喜欢更炫酷的新装备呢？）。　　5。竞争更激烈　　长距离铁三赛，因为参与的人数有限，加上赛道长、时间跨度大，更多时候是“一个人的战斗”。而标铁赛事拥有庞大的参与人群，比赛场地相对集中，所以大家都会产生比较强的竞争意识，你追我赶的拉扯非常常见。　　况且绝大多数选手都是经过了长期的训练准备，为了争夺更好的成绩和名次都会尽全力。与和自己实力相仿的选手过招，也会驱使自己有更好的运动表现。　　6。自我检测　　对于一个新手来说，跑10公里可能不是什么难事，可是在跑步前面加上游泳和骑车两项呢？最后跑起来会感觉腿沉如铁。通过比赛你会找出自己的不足，然后进行训练提升。当比赛时经历一些痛苦，冲过终点线后的那份喜悦也会更加甜美。　　7。狂傲　　没错，铁三是一项具有包容性并且友善的运动，但一点点的“狂傲”可以让我们在比赛中更有信心。可能赛前还有些小紧张，下水后就奔着前面的浮标游，拿出勇往直前舍我其谁的态度！自行车和跑步也是如此，就是跟赛道、跟对手、跟自己死磕！标铁距离的比赛其实就该这么拼。　　8。更多加油和欢呼　　很多标铁赛事的赛道都是绕圈赛，比赛场地相对集中，这样就方便观众们集中观看比赛，为选手加油呐喊。特别是有家人朋友到现场给自己加油，比赛中能够很多次看到他们也是对自己的一种鼓励。当然，终点冲线时那山呼海啸般的喝彩欢呼声更是让人疯狂和激动，感觉自己就像明星一样！　　9。分泌更多内啡肽　　不管你现在是什么样的竞技水平，完成一场标铁对体能都是一次扎实的考验。冲过终点线，你会感觉精疲力尽、浑身酸痛，甚至有些脱水，但是这一切你都会觉得值，所有的训练和付出都没有白费。也许你自己还没有意识到，这场比赛的终点其实就是你下一场比赛的起点。　　文章来源：active.com　　翻译：全球铁三
http://n.sinaimg.cn/sports/crawl/20170601/dOlQ-fyfuzpn2358198.jpg	　　当人们提到“铁人”这个词时，首先想到的应该是那长达226公里的漫长路程，以及为了抵达终点而需要历经的艰辛。　　是的，完成IRONMAN大铁意味着赢得非凡的成就，是一种极高的荣誉，但并不意味着所有的人都应该成为大铁的拥趸，毕竟门槛实在太高了。　　对于普通人特别是初铁挑战者来说，奥运会标准距离的铁三赛才是比较适宜的距离，9个理由告诉你为什么。　　1。颇具挑战　　很多新人的第一次铁三比赛都会选择难度更小距离，标铁成为理所当然的选择。标铁距离为1.5公里游泳、40公里自行车、10公里跑步，这个距离对于普通人而言足够具有挑战性，因为在耐力的基础上想要追求速度的突破并不是一件容易的事。　　2。精进你的比赛技巧　　当铁三对于比赛技巧也有一定要求。特别是标铁距离，比赛节奏相对紧凑，想要赢得比赛必须争分夺秒。举个例子，如果换项的时候过于拖沓没有条理，可能就会导致你在前一项比赛中建立的优势丧失殆尽。同样的，配速和能量补给也需要制定相应的策略。简单来说，就能力不变的情况下，熟练掌握比赛技巧也会让你成绩更好。　　3。方便　　很多地方性的铁三赛事都是以标铁距离为主。所以铁三爱好者可以选择就近参赛，不必拖着行李长途跋涉，免除了舟车劳顿。比赛当天也不必起的特别早（很多长距离铁三赛，选手早上四点多就要起床准备），基本上中午之前就可以结束战斗，下午安排返程，不耽误正常的工作生活。　　4。相对花钱少　　无需多言，就报名费这一项，标铁距离比赛就比长距离铁三赛便宜得多。而且你用入门级装备就可以顺利完赛。不过……当你完成过几场比赛后，肯定也会有升级装备的想法（谁会不喜欢更炫酷的新装备呢？）。　　5。竞争更激烈　　长距离铁三赛，因为参与的人数有限，加上赛道长、时间跨度大，更多时候是“一个人的战斗”。而标铁赛事拥有庞大的参与人群，比赛场地相对集中，所以大家都会产生比较强的竞争意识，你追我赶的拉扯非常常见。　　况且绝大多数选手都是经过了长期的训练准备，为了争夺更好的成绩和名次都会尽全力。与和自己实力相仿的选手过招，也会驱使自己有更好的运动表现。　　6。自我检测　　对于一个新手来说，跑10公里可能不是什么难事，可是在跑步前面加上游泳和骑车两项呢？最后跑起来会感觉腿沉如铁。通过比赛你会找出自己的不足，然后进行训练提升。当比赛时经历一些痛苦，冲过终点线后的那份喜悦也会更加甜美。　　7。狂傲　　没错，铁三是一项具有包容性并且友善的运动，但一点点的“狂傲”可以让我们在比赛中更有信心。可能赛前还有些小紧张，下水后就奔着前面的浮标游，拿出勇往直前舍我其谁的态度！自行车和跑步也是如此，就是跟赛道、跟对手、跟自己死磕！标铁距离的比赛其实就该这么拼。　　8。更多加油和欢呼　　很多标铁赛事的赛道都是绕圈赛，比赛场地相对集中，这样就方便观众们集中观看比赛，为选手加油呐喊。特别是有家人朋友到现场给自己加油，比赛中能够很多次看到他们也是对自己的一种鼓励。当然，终点冲线时那山呼海啸般的喝彩欢呼声更是让人疯狂和激动，感觉自己就像明星一样！　　9。分泌更多内啡肽　　不管你现在是什么样的竞技水平，完成一场标铁对体能都是一次扎实的考验。冲过终点线，你会感觉精疲力尽、浑身酸痛，甚至有些脱水，但是这一切你都会觉得值，所有的训练和付出都没有白费。也许你自己还没有意识到，这场比赛的终点其实就是你下一场比赛的起点。　　文章来源：active.com　　翻译：全球铁三
http://n.sinaimg.cn/sports/crawl/20170601/3YXv-fyfuzpn2358200.jpg	　　当人们提到“铁人”这个词时，首先想到的应该是那长达226公里的漫长路程，以及为了抵达终点而需要历经的艰辛。　　是的，完成IRONMAN大铁意味着赢得非凡的成就，是一种极高的荣誉，但并不意味着所有的人都应该成为大铁的拥趸，毕竟门槛实在太高了。　　对于普通人特别是初铁挑战者来说，奥运会标准距离的铁三赛才是比较适宜的距离，9个理由告诉你为什么。　　1。颇具挑战　　很多新人的第一次铁三比赛都会选择难度更小距离，标铁成为理所当然的选择。标铁距离为1.5公里游泳、40公里自行车、10公里跑步，这个距离对于普通人而言足够具有挑战性，因为在耐力的基础上想要追求速度的突破并不是一件容易的事。　　2。精进你的比赛技巧　　当铁三对于比赛技巧也有一定要求。特别是标铁距离，比赛节奏相对紧凑，想要赢得比赛必须争分夺秒。举个例子，如果换项的时候过于拖沓没有条理，可能就会导致你在前一项比赛中建立的优势丧失殆尽。同样的，配速和能量补给也需要制定相应的策略。简单来说，就能力不变的情况下，熟练掌握比赛技巧也会让你成绩更好。　　3。方便　　很多地方性的铁三赛事都是以标铁距离为主。所以铁三爱好者可以选择就近参赛，不必拖着行李长途跋涉，免除了舟车劳顿。比赛当天也不必起的特别早（很多长距离铁三赛，选手早上四点多就要起床准备），基本上中午之前就可以结束战斗，下午安排返程，不耽误正常的工作生活。　　4。相对花钱少　　无需多言，就报名费这一项，标铁距离比赛就比长距离铁三赛便宜得多。而且你用入门级装备就可以顺利完赛。不过……当你完成过几场比赛后，肯定也会有升级装备的想法（谁会不喜欢更炫酷的新装备呢？）。　　5。竞争更激烈　　长距离铁三赛，因为参与的人数有限，加上赛道长、时间跨度大，更多时候是“一个人的战斗”。而标铁赛事拥有庞大的参与人群，比赛场地相对集中，所以大家都会产生比较强的竞争意识，你追我赶的拉扯非常常见。　　况且绝大多数选手都是经过了长期的训练准备，为了争夺更好的成绩和名次都会尽全力。与和自己实力相仿的选手过招，也会驱使自己有更好的运动表现。　　6。自我检测　　对于一个新手来说，跑10公里可能不是什么难事，可是在跑步前面加上游泳和骑车两项呢？最后跑起来会感觉腿沉如铁。通过比赛你会找出自己的不足，然后进行训练提升。当比赛时经历一些痛苦，冲过终点线后的那份喜悦也会更加甜美。　　7。狂傲　　没错，铁三是一项具有包容性并且友善的运动，但一点点的“狂傲”可以让我们在比赛中更有信心。可能赛前还有些小紧张，下水后就奔着前面的浮标游，拿出勇往直前舍我其谁的态度！自行车和跑步也是如此，就是跟赛道、跟对手、跟自己死磕！标铁距离的比赛其实就该这么拼。　　8。更多加油和欢呼　　很多标铁赛事的赛道都是绕圈赛，比赛场地相对集中，这样就方便观众们集中观看比赛，为选手加油呐喊。特别是有家人朋友到现场给自己加油，比赛中能够很多次看到他们也是对自己的一种鼓励。当然，终点冲线时那山呼海啸般的喝彩欢呼声更是让人疯狂和激动，感觉自己就像明星一样！　　9。分泌更多内啡肽　　不管你现在是什么样的竞技水平，完成一场标铁对体能都是一次扎实的考验。冲过终点线，你会感觉精疲力尽、浑身酸痛，甚至有些脱水，但是这一切你都会觉得值，所有的训练和付出都没有白费。也许你自己还没有意识到，这场比赛的终点其实就是你下一场比赛的起点。　　文章来源：active.com　　翻译：全球铁三
http://n.sinaimg.cn/sports/crawl/20170601/OzsB-fyfrfvv5510151.jpg	　　当人们提到“铁人”这个词时，首先想到的应该是那长达226公里的漫长路程，以及为了抵达终点而需要历经的艰辛。　　是的，完成IRONMAN大铁意味着赢得非凡的成就，是一种极高的荣誉，但并不意味着所有的人都应该成为大铁的拥趸，毕竟门槛实在太高了。　　对于普通人特别是初铁挑战者来说，奥运会标准距离的铁三赛才是比较适宜的距离，9个理由告诉你为什么。　　1。颇具挑战　　很多新人的第一次铁三比赛都会选择难度更小距离，标铁成为理所当然的选择。标铁距离为1.5公里游泳、40公里自行车、10公里跑步，这个距离对于普通人而言足够具有挑战性，因为在耐力的基础上想要追求速度的突破并不是一件容易的事。　　2。精进你的比赛技巧　　当铁三对于比赛技巧也有一定要求。特别是标铁距离，比赛节奏相对紧凑，想要赢得比赛必须争分夺秒。举个例子，如果换项的时候过于拖沓没有条理，可能就会导致你在前一项比赛中建立的优势丧失殆尽。同样的，配速和能量补给也需要制定相应的策略。简单来说，就能力不变的情况下，熟练掌握比赛技巧也会让你成绩更好。　　3。方便　　很多地方性的铁三赛事都是以标铁距离为主。所以铁三爱好者可以选择就近参赛，不必拖着行李长途跋涉，免除了舟车劳顿。比赛当天也不必起的特别早（很多长距离铁三赛，选手早上四点多就要起床准备），基本上中午之前就可以结束战斗，下午安排返程，不耽误正常的工作生活。　　4。相对花钱少　　无需多言，就报名费这一项，标铁距离比赛就比长距离铁三赛便宜得多。而且你用入门级装备就可以顺利完赛。不过……当你完成过几场比赛后，肯定也会有升级装备的想法（谁会不喜欢更炫酷的新装备呢？）。　　5。竞争更激烈　　长距离铁三赛，因为参与的人数有限，加上赛道长、时间跨度大，更多时候是“一个人的战斗”。而标铁赛事拥有庞大的参与人群，比赛场地相对集中，所以大家都会产生比较强的竞争意识，你追我赶的拉扯非常常见。　　况且绝大多数选手都是经过了长期的训练准备，为了争夺更好的成绩和名次都会尽全力。与和自己实力相仿的选手过招，也会驱使自己有更好的运动表现。　　6。自我检测　　对于一个新手来说，跑10公里可能不是什么难事，可是在跑步前面加上游泳和骑车两项呢？最后跑起来会感觉腿沉如铁。通过比赛你会找出自己的不足，然后进行训练提升。当比赛时经历一些痛苦，冲过终点线后的那份喜悦也会更加甜美。　　7。狂傲　　没错，铁三是一项具有包容性并且友善的运动，但一点点的“狂傲”可以让我们在比赛中更有信心。可能赛前还有些小紧张，下水后就奔着前面的浮标游，拿出勇往直前舍我其谁的态度！自行车和跑步也是如此，就是跟赛道、跟对手、跟自己死磕！标铁距离的比赛其实就该这么拼。　　8。更多加油和欢呼　　很多标铁赛事的赛道都是绕圈赛，比赛场地相对集中，这样就方便观众们集中观看比赛，为选手加油呐喊。特别是有家人朋友到现场给自己加油，比赛中能够很多次看到他们也是对自己的一种鼓励。当然，终点冲线时那山呼海啸般的喝彩欢呼声更是让人疯狂和激动，感觉自己就像明星一样！　　9。分泌更多内啡肽　　不管你现在是什么样的竞技水平，完成一场标铁对体能都是一次扎实的考验。冲过终点线，你会感觉精疲力尽、浑身酸痛，甚至有些脱水，但是这一切你都会觉得值，所有的训练和付出都没有白费。也许你自己还没有意识到，这场比赛的终点其实就是你下一场比赛的起点。　　文章来源：active.com　　翻译：全球铁三
