http://sports.sina.com.cn/s/2003-10-13/043772185s.shtml
阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
2003-10-13
//beacon.sina.com.cn/a.gif?noScript	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://ad4.sina.com.cn/sina/bn-002.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/ty/nike/ni01.gif	NIKE竞技风暴
http://image2.sina.com.cn/ty/nike/arrow0_1.gif	Nike 沙龙Nike 之星Nike 之队
http://image2.sina.com.cn/ty/nike/arrow0_1.gif	Nike 沙龙Nike 之星Nike 之队
http://image2.sina.com.cn/ty/nike/arrow0_1.gif	Nike 沙龙Nike 之星Nike 之队
http://image2.sina.com.cn/ty/images/media/6-51-73_bjydlogo.jpg	Nike 沙龙Nike 之星Nike 之队
http://image2.sina.com.cn/ty/nike/ni30.gif	NIKE竞技风暴 >  正文  
http://image2.sina.com.cn/ty/nike/ni34.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网首页 ●新闻 ●体育 ●娱乐 ●游戏 ●邮箱 ●搜索 ●短信 ●聊天 ●天气 ●答疑 ●导航Nike 沙龙Nike 之星Nike 之队NIKE竞技风暴 >  正文  阿尔艾因队获亚冠杯冠军http://sports.sina.com.cn 2003年10月13日04:37 北京青年报　　刘艾林　　本报讯首届亚洲足球俱乐部冠军联赛10月11日晚在泰国首都曼谷结束，阿联酋的阿尔艾因队虽然在当晚的比赛中0比1不敌东道主泰国的BEC队，但凭借日前在主场取得的2比0的胜利，以总比分优势夺得了冠军。　　11日晚的比赛泰国BEC队充分利用天时、地利、人和的有利条件向对手展开了疯狂的进攻，但在对方顽强的防守面前只在第60分钟靠点球打进惟一入球，最终以1比2的总比分与冠军失之交臂。阿尔艾因队赢得了第一届亚冠杯冠军，他们是在半决赛中以7比6的总比分淘汰了中国的大连实德队打入决赛的。 【推荐】【大 中 小】【打印】【关闭】　　注册新浪9M全免费邮箱　　新浪二手市场重新开张　　精彩爆笑，情趣无限！成人世界的快乐宝典，让你享受轻松开心生活！　　企业法律顾问考试冲刺辅导热报 还快乐互动学英语本色 考研&MBA冲刺　　 新 闻 查 询关键词一关键词二分类网站全部网站新闻标题新闻全文图片MP3手机铃声景区景点企业商情产品游戏软件   摄像机减肥停电装备 邀上海网友打篮球，挑战CHBL上海冠军海淀组队,大家都来吧安徽省企业杯篮球联赛2003第一赛季欢迎就同城约战提意见AirJordan 18顶级篮球鞋！新浪精彩短信两性学堂 销魂而忘情的感受带你步入性爱天堂非常笑话热辣精彩的短信笑话 绝对值得一试!图片铃声・[花蝴蝶] 花蝴蝶・[和　弦] 蓝精灵・鸟啼铃语 蟋蟀铃声铃声搜索 　新浪商城推荐  易趣运动专区推荐99元彩屏手机拿回家夏季运动装备专卖店  igo5美味购物体验特价原装手机配件十大禁书1.7折  激情约会无底内衣激情无限男用增大系列用品  (以上推荐一周有效) 更多精品特卖>>每日2条，28元/月原色地带--普通图片铃声，5元包月随意下载随心换.　 炫彩地带--彩图和弦铃声，10元包月下载，时尚又精彩 热辣经典欢乐无限结婚前,女方坦承自己的缺点:我的胸部不大，就象是2个…每日2条，30元/月新浪简介 | About Sina | 广告服务 | 招聘信息 | 网站律师 | SINA English | 会员注册 | 产品答疑Copyright © 1996 - 2003 SINA Inc.  All Rights Reserved版权所有 新浪网
http://ad4.sina.com.cn/shh/each-pop38.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://sina.allyes.com/main/adfshow?user=AFP6_for_SINA|Sports|SportsPIP&db=sina	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/ty/s_n_worldcup_1.gif	 
http://image2.sina.com.cn/ty/nike/ni35.gif	　　 新 闻 查 询
http://ad4.sina.com.cn/shh/each/eachnetlogo2.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://ad4.sina.com.cn/shh/each/seach.gif	search
http://image2.sina.com.cn/ty/nikeball/tg73101.gif	邀上海网友打篮球，挑战CHBL上海冠军海淀组队,大家都来吧安徽省企业杯篮球联赛2003第一赛季欢迎就同城约战提意见
http://image2.sina.com.cn/ty/up/1_6-64-1327-3593_2003082894350.jpg	邀上海网友打篮球，挑战CHBL上海冠军
http://image2.sina.com.cn/ty/nikeball/tg73102.gif	AirJordan 18顶级篮球鞋！
http://image2.sina.com.cn/ty/up/1_6-64-1323-3446_20030806183235.jpg	AirJordan 18顶级篮球鞋！
http://image2.sina.com.cn/ty/nikeball/tg73103.gif	AirJordan 18顶级篮球鞋！
http://image2.sina.com.cn/sms/zwbl/lt052801.gif	新浪精彩短信
http://image2.sina.com.cn/sms/zwbl/lt052802.gif	新浪精彩短信
http://image2.sina.com.cn/sms/zwbl/lt052808.gif	两性学堂
http://image2.sina.com.cn/sms/zw/70x60_lxbl.GIF	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/sms/zwbl/lt052806.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/sms/zw/lt052806.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/sms/zwbl/zw052125.gif	非常笑话
http://image2.sina.com.cn/sms/zw/70x60-fc2.GIF	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/sms/zwbl/lt052806.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/sms/zwbl/lt052806.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/sms/zwbl/lt052805.gif	图片
http://image2.sina.com.cn/sms/sinarc/preview/14/113/113283.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/sms/sinarc/preview/14/113/113347.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
http://image2.sina.com.cn/sms/zwbl/lt052806.gif	阿尔艾因队获亚冠杯冠军_NIKE新浪竞技风暴_新浪网
