http://sports.sina.com.cn/zl/basketball/2020-01-19/zldoc-iihnzhha3486203.shtml
广东比山东到底强在哪？_新浪竞技风暴_新浪网
2020-01-19
//beacon.sina.com.cn/a.gif?noScript	广东比山东到底强在哪？_新浪竞技风暴_新浪网
http://www.sinaimg.cn/dy/deco/2013/0822/imgs/news_logo.png	广东比山东到底强在哪？_新浪竞技风暴_新浪网
http://www.sinaimg.cn/ty/2011hqj/0624/sports_zl_0702.png	广东比山东到底强在哪？_新浪竞技风暴_新浪网
http://n.sinaimg.cn/sports/transform/0/w500h300/20200119/e287-inhcycc3911463.jpg	　　山东西王客战领头羊广东，结果没有任何悬念，悬念在于过程。这个过程指的也不是比赛的场面虽败犹荣与否，而是本赛季首次露面的哈里斯斤两如何，他跟哈德森构成的“双小”组合会使西王的战术体系发生怎样的变化。（杜锋干扰哈德森投篮吃T）　　那些期待西王能在本赛季常规赛与广东四次交锋中赢下一场的球迷，看了双方的第四次交锋之后，应该死心了。西王目前确实不具备战胜广东的能力和条件，状态最好且在主场时都赢不下来，状态低迷又逢客战，一场惨败是最真实最合理的结局。（广东比山东到底强在哪？）　　 广东比山东强在哪儿？或许能总结出许多条，比如实力占优、打球人多、外援水平高，有易建联这个外援级别的本土领袖，等等。不过，这些优势，有好几支强队同样具备，山东与它们交手却看不出如此明显的差别，战绩上也是互有胜负。显然，广东有克制山东的独门绝技。（单从球员实力对比，双方差距似乎并不大）　　  广东实力当然占优，只是如果一个比一个，似乎优势并不那么突出。布鲁克斯PK哈德森，威姆斯PK哈里斯，易建联PK陶汉林，前者只是稍稍领先。后面的任骏飞、赵睿、胡明轩，PK贾诚、王汝恒、李敬宇，恐怕理当说是各有所长。徐杰PK陈培东，曾繁日PK侯沛佐，前者也仅是强在经验和信心上。（山东新外援—哈里斯）　　广东打球人多？一般感觉是这样的。然而，看一下这场粤鲁之战的技术统计，广东先后10人出场，西王先后出场的亦是10人！广东打的最少的是12分钟的杜润旺，西王是10分钟的朱荣振。广东打的最多的任骏飞35分钟，西王打的最多的哈德森、王汝恒和哈里斯皆为34分钟。双方出场时间超过20分钟的，都是6个人。（打广东，山东队无从下手）　　那么，广东为啥显得比西王技高了不止一筹？不是他们的优点太多，而是他们的缺点太少。本赛季西王打新疆、辽宁、北京等劲旅丝毫不落下风，发挥自己的优点、压制对方的缺点，扬长避短，便能够战而胜之。打广东就不同了，你很难找到他们的缺点，无处下手。而你的缺点完全暴露在广东面前，让人家一打一个准。（一打广东，各种错误集中体现）　　   西王一打广东，失误率、犯规率马上飙升。因为其他对手不可能全场保持同一种进攻节奏和防守强度，总要停下来喘口气的，广东不然，不管谁在场上，攻击端的“快”和防守端的“硬”始终如一，而且极少犯错。西王被广东的节奏和强度带着走，得不到喘息，必然破绽百出。进攻打不开，失误难免；防守跟不上，只能用犯规去弥补。（CBA相对来说没有软肋的球队）　　  这就是山东与广东真正的差距所在。其实，也是新疆、辽宁、广厦、北京等强队逐渐被广东甩下的真正原因所在。别的强队都是优点突出，缺点也突出，别人打不了你的长处，可以打你的软肋，而广东恰恰是一支没有软肋的球队。广东至今输掉的两场比赛，对手分别是吉林和北控，都是黑马类角色，有大意失荆州的因素在内，对公认的强队，广东保持全胜。 （哈里斯表现不俗，但仍需尽快融入球队）　　因此，巩晓彬选择对广东之战启用“双小”外援组合，不是为了赢球，而是用一场肯定要输的比赛，检验哈里斯的成色，给他适应CBA的机会。要完成季后赛目标，乃至力争保住常规赛四强位置，西王必须赢的，是身前身后与自己直接竞争的对手。哈里斯首秀32分10板3助3帽的数据足够靓丽，但他要真正融入西王的战术体系，尚待时日。更重要的试金石，是下一轮的齐鲁德比。　　本文来自公众号@尹波说球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/crawl/123/w550h373/20200119/719a-inhcycc3903870.jpg	（杜锋干扰哈德森投篮吃T）
http://n.sinaimg.cn/sports/crawl/132/w550h382/20200119/6a80-inhcycc3903914.jpg	（广东比山东到底强在哪？）
http://n.sinaimg.cn/sports/crawl/98/w550h348/20200119/c3c8-inhcycc3905437.jpg	（单从球员实力对比，双方差距似乎并不大）
http://n.sinaimg.cn/sports/crawl/131/w550h381/20200119/6531-inhcycc3905498.jpg	（山东新外援—哈里斯）
http://n.sinaimg.cn/sports/crawl/99/w550h349/20200119/9258-inhcycc3905534.jpg	（打广东，山东队无从下手）
http://n.sinaimg.cn/sports/crawl/72/w550h322/20200119/5881-inhcycc3905582.jpg	（一打广东，各种错误集中体现）
http://n.sinaimg.cn/sports/crawl/69/w550h319/20200119/9dd7-inhcycc3905624.jpg	（CBA相对来说没有软肋的球队）
http://n.sinaimg.cn/sports/crawl/81/w550h331/20200119/e4e9-inhcycc3905686.jpg	 （哈里斯表现不俗，但仍需尽快融入球队）
http://i3.sinaimg.cn/IT/deco/2013/0401/csj/img_default.png	尹波
http://n.sinaimg.cn/sports/transform/0/w500h300/20200119/56fe-inhcycc3897604.jpg	英格拉姆准备“核聚变”
http://n.sinaimg.cn/sports/transform/0/w500h300/20200113/a325-imztzhn2945904.jpg	国奥踢不出两场“犹荣”之败
http://n.sinaimg.cn/sports/transform/0/w500h300/20200113/bd15-imztzhn2912948.jpg	伊布这种让人又爱又恨的天才
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132910_1.jpg	黄健翔
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132909.jpg	颜强
http://i3.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132911.jpg	董路
http://i1.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132908_1.jpg	杨毅
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132910.jpg	苏群
http://i0.sinaimg.cn/ty/2013/0717/U5295P6DT20130717144731.jpg	米卢
