http://sports.sina.com.cn/zl/football/2020-01-06/zldoc-iihnzhha0608466.shtml
武磊与梅西这张合影 有着怎样的故事_新浪竞技风暴_新浪网
2020-01-06
//beacon.sina.com.cn/a.gif?noScript	武磊与梅西这张合影 有着怎样的故事_新浪竞技风暴_新浪网
http://www.sinaimg.cn/dy/deco/2013/0822/imgs/news_logo.png	武磊与梅西这张合影 有着怎样的故事_新浪竞技风暴_新浪网
http://www.sinaimg.cn/ty/2011hqj/0624/sports_zl_0702.png	武磊与梅西这张合影 有着怎样的故事_新浪竞技风暴_新浪网
http://n.sinaimg.cn/sports/transform/0/w500h300/20200106/f2c7-imrkkfy2305585.jpg	　　原标题：武磊合影梅西，这张刷屏老照片背后，有怎样的故事　　在武磊5日西甲联赛“绝平”巴萨后，很多球迷整整一天都被社交网络流传的一张老照片刷屏——照片上稚嫩的武磊和阿圭罗、梅西一起合影。　　这张照片背后，是一段不为人知的往事。　　武磊和阿圭罗、梅西合影。　　印象最深的不是梅西　　2008年北京奥运会期间，当时还在崇明岛的东亚俱乐部相关人士接到了上海市足协的一个电话。　　“阿根廷队明天要打分组对抗，人数不够，想借几个球员，你看你们这边是不是找几个人。”　　这样难得的锻炼机会，徐根宝自然一口答应。他点了李运秋、柏佳骏、战怡麟、武磊和吕文君五名球员。　　为了这次机会，这批孩子要提前一天从基地坐船来到市区，休息后第二天下午去源深体育场加入阿根廷队训练。武磊与梅西、阿圭罗的那张合影，就是在这次训练后拍的。　　东亚俱乐部也通知了上海媒体去源深体育场采访，但阿根廷队选择了全封闭，大家只能在训练结束后，询问几名小球员和巨星对抗的感觉。　　其实那次分队训练，受制于位置关系，和梅西对位最多的是柏佳骏——“太快了，根本防不住。”　　而武磊印象最深刻的，则是和他对位的马斯切拉诺。“一个是站位和预判，思路很清楚，都在你想要进攻的路线上。还有他的出球，也很好，不愧是世界级的后腰。这次训练，学到了太多东西。”武磊“绝平”巴萨。　　北京奥运，两人的新起点　　那一年的梅西，刚过了21岁生日，还算不上天皇巨星，巴萨的带头大哥也是罗纳尔迪尼奥。但北京奥运会注定是梅西职业生涯重要的起步：　　迪玛利亚在鸟巢闪电一击，阿根廷1-0击败尼日利亚，这是梅西国家队生涯唯一一次荣誉，这枚金牌也让梅西大爆发，回到巴萨后他三年内两次击败曼联夺取欧冠冠军，铸就传奇。　　北京奥运之时，武磊还不满17岁，在东亚队也只能是一个轮换球员。奥运会结束后的8月30日，武磊才在上海东亚队与青岛海利丰一役中攻入一球，当时年仅16岁零289天。　　他也成为了继曹赟定之后，中国职业足球联赛第二年轻的进球者。　　和梅西一样，武磊同样在2009年奠定了自己在球队中的地位——那是在济南全运会，在淄博四分之一决赛面对吴曦领衔的河北，武磊下半场头球打进制胜进球，帮助上海队晋级半决赛。　　随后和东道主山东的半决赛，武磊点球大战稳稳命中点球，上海队进入决赛最终捧杯。不到18岁的武磊，兑现了自己的天赋。 C罗也曾帮助武磊提高。　　他是中国最好的足球运动员　　其实奥运会训练场那一次相逢后，武磊和梅西几乎再无交集，除了2013年年初东亚队升级后徐根宝带队去西班牙拉练，顺便去诺坎普看了比赛。　　倒是武磊和C罗有一次在商业活动中相遇。武磊询问C罗自己应该如何提升，本以为这只是客套的对话，没想到葡萄牙巨星给出了很好的建议：　　“你踢得已经很好，但左脚还可以加强，如果通过多次10-15分钟连续的带球训练，你会在未来有更好发挥。”　　那是2017年夏天的故事，武磊说自己按照C罗的要求在训练中有针对性练了左脚，这还真的起到了效果。2018赛季，武磊打进了27个联赛进球，帮助上港队拿到了联赛冠军。　　随后，武磊登陆西甲联赛，开始了自己追梦之旅……　　“十年前，这名球童（武磊）曾跑来找我合影。”当年合影三人中另外一位主角，阿圭罗在2018年上港夺冠后特地在社交媒体上写道，“现在他是中国最好的足球运动员。”　　而面对梅西和巴萨的进球，再度验证了这句话——武磊，当下中国最好的球员。　　本文来自@澎湃　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/gif_image/591/w401h190/20200106/f480-imrkkfy2291717.gif	武磊“绝平”巴萨。
http://n.sinaimg.cn/sports/crawl/59/w550h309/20200106/6891-imrkkfy2291766.jpg	 C罗也曾帮助武磊提高。
http://i3.sinaimg.cn/IT/deco/2013/0401/csj/img_default.png	宋承良
http://n.sinaimg.cn/sports/transform/0/w500h300/20200106/7533-imrkkfy2278782.jpg	今年会有多少位新鲜的全明星
http://n.sinaimg.cn/sports/transform/0/w500h300/20200106/9c6a-imrkkfy2268206.jpg	瞪起眼来的山东就是这么恐怖
http://n.sinaimg.cn/sports/transform/0/w500h300/20191230/02ab-imkzenp7302883.jpg	足协对国脚资格认定有细则
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132910_1.jpg	黄健翔
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132909.jpg	颜强
http://i3.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132911.jpg	董路
http://i1.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132908_1.jpg	杨毅
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132910.jpg	苏群
http://i0.sinaimg.cn/ty/2013/0717/U5295P6DT20130717144731.jpg	米卢
