http://sports.sina.com.cn/zl/football/2020-01-13/zldoc-iihnzahk3752821.shtml#J_Comment_Wrap
皇马球迷等待一年半 终于等到最好的他_新浪竞技风暴_新浪网
2020-01-13
//beacon.sina.com.cn/a.gif?noScript	皇马球迷等待一年半 终于等到最好的他_新浪竞技风暴_新浪网
http://www.sinaimg.cn/dy/deco/2013/0822/imgs/news_logo.png	皇马球迷等待一年半 终于等到最好的他_新浪竞技风暴_新浪网
http://www.sinaimg.cn/ty/2011hqj/0624/sports_zl_0702.png	皇马球迷等待一年半 终于等到最好的他_新浪竞技风暴_新浪网
http://n.sinaimg.cn/sports/transform/0/w500h300/20200113/8a9b-imztzhn2805715.jpg	原标题：一句真香！皇马球迷等待了一年半，终于等到最好的他　　裆下空间小，但库尔图瓦的裆下格外大。　　球门空间大，但库尔图瓦守的门格外小。　　两个月，从裤袜到库爹，库尔图瓦改变了自己在皇马球迷心目中的地位，西班牙超级杯决赛的马德里德比，面对旧主的各种轰炸，库尔图瓦只手遮天，力保球门不失。　　点球大战，身高1米99的库尔图瓦张开双臂，几乎覆盖了整个球门，也给了主罚球员强大压力，第一个登场的萨乌尔选择了刁钻的角度，虽然骗过库尔图瓦，却击中了门柱。　　第二个登场的托马斯，则被库尔图瓦扑出了点球。　　最终，皇马点球击败马竞，夺得西班牙超级杯冠军，库尔图瓦也夺得了世俱杯后，自己皇马生涯的第二冠。　　在赛后WhoScored的球员评分中，库尔图瓦得到了全场最高的9.0分，官方的最佳球员则给了同样发挥出色的F。巴尔韦德。　　终于，在2020年初，加盟皇马已一年半的库尔图瓦，赢得了“呼吸权”。　　2019年10月19日，皇马在西甲第9轮客场0-1负于马洛卡，自此，皇马门将库尔图瓦在加盟后的44场比赛中丢了整整60球，仅12次零封，场均丢球1.36，零封率仅27%。　　这个日期，成为库尔图瓦皇马生涯的转折。　　此后，库尔图瓦为皇马出场14次，仅丢5球，多达10场零封，场均丢球0.36，零封率71%！　　从裤袜，到库爹，库尔图瓦终于赢得了挑剔的皇马球迷的认可。　　库尔图瓦的皇马生涯，从一开始便遍布荆棘。皇马球迷并不待见他，毕竟兢兢业业的纳瓦斯已经赢得了皇马球迷的认可和喜爱，老爵爷却一心想要找人替换他，多次求购德赫亚无果后，最终选择了库尔图瓦。　　切尔西球迷对库尔图瓦的执意出走非常不满，因为蓝军不得不用8000万欧天价砸下凯帕。老东家马竞的球迷也与库尔图瓦恩断义绝，在他转会同城死敌后对他的纪念牌进行破坏。　　接连被前东家、现东家、老东家的球迷质疑，库尔图瓦带着争议开始了自己的皇马生涯。其实，想赢得皇马球迷的认可，库尔图瓦只需要球场上出色的表现，“真香定律”就会出现。但皇马球迷迟迟没有等待真香，却看着库尔图瓦经历着职业生涯最大的滑坡。　　2018年原本是库尔图瓦职业生涯最高光的一年。库尔图瓦随比利时获得世界杯季军，同时荣膺世界杯金手套奖，世界杯后，库尔图瓦又荣膺国际足联最佳门将，年末也入选金球奖30人候选。　　但是在以3500万欧的转会费加盟皇马后，库尔图瓦却与银河战舰一起陷入低迷，一个四大皆空的赛季中，库尔图瓦一次次被打裆下，一次次被戏耍，成为了人们口中的笑柄。皇马卖走了一位50+（C罗），又引进了一位50+（库尔图瓦），是当时最常见的段子。　　但人生就是起起伏伏，库尔图瓦也在这两个月迎来了触底反弹。最近9轮西甲，他零封了多达7场，仅丢2球，如果不是皇马进攻乏力，踢出3场0-0，他们有机会在西甲拿到更多的积分。　　零封越来越多，状态越来越好，扑救越来越多，失误越来越少。冠军来了，皇马球迷也可以喊出“真香”，给库尔图瓦更多“如爹般”的待遇。　　门线前，库尔图瓦一次次拯救皇马，更重要的是，他拯救了自己。　　本文来自公众号@搜达足球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/crawl/59/w550h309/20200113/4079-imztzhn2800111.jpg	原标题：一句真香！皇马球迷等待了一年半，终于等到最好的他　　裆下空间小，但库尔图瓦的裆下格外大。　　球门空间大，但库尔图瓦守的门格外小。　　两个月，从裤袜到库爹，库尔图瓦改变了自己在皇马球迷心目中的地位，西班牙超级杯决赛的马德里德比，面对旧主的各种轰炸，库尔图瓦只手遮天，力保球门不失。　　点球大战，身高1米99的库尔图瓦张开双臂，几乎覆盖了整个球门，也给了主罚球员强大压力，第一个登场的萨乌尔选择了刁钻的角度，虽然骗过库尔图瓦，却击中了门柱。　　第二个登场的托马斯，则被库尔图瓦扑出了点球。　　最终，皇马点球击败马竞，夺得西班牙超级杯冠军，库尔图瓦也夺得了世俱杯后，自己皇马生涯的第二冠。　　在赛后WhoScored的球员评分中，库尔图瓦得到了全场最高的9.0分，官方的最佳球员则给了同样发挥出色的F。巴尔韦德。　　终于，在2020年初，加盟皇马已一年半的库尔图瓦，赢得了“呼吸权”。　　2019年10月19日，皇马在西甲第9轮客场0-1负于马洛卡，自此，皇马门将库尔图瓦在加盟后的44场比赛中丢了整整60球，仅12次零封，场均丢球1.36，零封率仅27%。　　这个日期，成为库尔图瓦皇马生涯的转折。　　此后，库尔图瓦为皇马出场14次，仅丢5球，多达10场零封，场均丢球0.36，零封率71%！　　从裤袜，到库爹，库尔图瓦终于赢得了挑剔的皇马球迷的认可。　　库尔图瓦的皇马生涯，从一开始便遍布荆棘。皇马球迷并不待见他，毕竟兢兢业业的纳瓦斯已经赢得了皇马球迷的认可和喜爱，老爵爷却一心想要找人替换他，多次求购德赫亚无果后，最终选择了库尔图瓦。　　切尔西球迷对库尔图瓦的执意出走非常不满，因为蓝军不得不用8000万欧天价砸下凯帕。老东家马竞的球迷也与库尔图瓦恩断义绝，在他转会同城死敌后对他的纪念牌进行破坏。　　接连被前东家、现东家、老东家的球迷质疑，库尔图瓦带着争议开始了自己的皇马生涯。其实，想赢得皇马球迷的认可，库尔图瓦只需要球场上出色的表现，“真香定律”就会出现。但皇马球迷迟迟没有等待真香，却看着库尔图瓦经历着职业生涯最大的滑坡。　　2018年原本是库尔图瓦职业生涯最高光的一年。库尔图瓦随比利时获得世界杯季军，同时荣膺世界杯金手套奖，世界杯后，库尔图瓦又荣膺国际足联最佳门将，年末也入选金球奖30人候选。　　但是在以3500万欧的转会费加盟皇马后，库尔图瓦却与银河战舰一起陷入低迷，一个四大皆空的赛季中，库尔图瓦一次次被打裆下，一次次被戏耍，成为了人们口中的笑柄。皇马卖走了一位50+（C罗），又引进了一位50+（库尔图瓦），是当时最常见的段子。　　但人生就是起起伏伏，库尔图瓦也在这两个月迎来了触底反弹。最近9轮西甲，他零封了多达7场，仅丢2球，如果不是皇马进攻乏力，踢出3场0-0，他们有机会在西甲拿到更多的积分。　　零封越来越多，状态越来越好，扑救越来越多，失误越来越少。冠军来了，皇马球迷也可以喊出“真香”，给库尔图瓦更多“如爹般”的待遇。　　门线前，库尔图瓦一次次拯救皇马，更重要的是，他拯救了自己。　　本文来自公众号@搜达足球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/gif_image/780/w500h280/20200113/c2b1-imztzhn2800185.gif	原标题：一句真香！皇马球迷等待了一年半，终于等到最好的他　　裆下空间小，但库尔图瓦的裆下格外大。　　球门空间大，但库尔图瓦守的门格外小。　　两个月，从裤袜到库爹，库尔图瓦改变了自己在皇马球迷心目中的地位，西班牙超级杯决赛的马德里德比，面对旧主的各种轰炸，库尔图瓦只手遮天，力保球门不失。　　点球大战，身高1米99的库尔图瓦张开双臂，几乎覆盖了整个球门，也给了主罚球员强大压力，第一个登场的萨乌尔选择了刁钻的角度，虽然骗过库尔图瓦，却击中了门柱。　　第二个登场的托马斯，则被库尔图瓦扑出了点球。　　最终，皇马点球击败马竞，夺得西班牙超级杯冠军，库尔图瓦也夺得了世俱杯后，自己皇马生涯的第二冠。　　在赛后WhoScored的球员评分中，库尔图瓦得到了全场最高的9.0分，官方的最佳球员则给了同样发挥出色的F。巴尔韦德。　　终于，在2020年初，加盟皇马已一年半的库尔图瓦，赢得了“呼吸权”。　　2019年10月19日，皇马在西甲第9轮客场0-1负于马洛卡，自此，皇马门将库尔图瓦在加盟后的44场比赛中丢了整整60球，仅12次零封，场均丢球1.36，零封率仅27%。　　这个日期，成为库尔图瓦皇马生涯的转折。　　此后，库尔图瓦为皇马出场14次，仅丢5球，多达10场零封，场均丢球0.36，零封率71%！　　从裤袜，到库爹，库尔图瓦终于赢得了挑剔的皇马球迷的认可。　　库尔图瓦的皇马生涯，从一开始便遍布荆棘。皇马球迷并不待见他，毕竟兢兢业业的纳瓦斯已经赢得了皇马球迷的认可和喜爱，老爵爷却一心想要找人替换他，多次求购德赫亚无果后，最终选择了库尔图瓦。　　切尔西球迷对库尔图瓦的执意出走非常不满，因为蓝军不得不用8000万欧天价砸下凯帕。老东家马竞的球迷也与库尔图瓦恩断义绝，在他转会同城死敌后对他的纪念牌进行破坏。　　接连被前东家、现东家、老东家的球迷质疑，库尔图瓦带着争议开始了自己的皇马生涯。其实，想赢得皇马球迷的认可，库尔图瓦只需要球场上出色的表现，“真香定律”就会出现。但皇马球迷迟迟没有等待真香，却看着库尔图瓦经历着职业生涯最大的滑坡。　　2018年原本是库尔图瓦职业生涯最高光的一年。库尔图瓦随比利时获得世界杯季军，同时荣膺世界杯金手套奖，世界杯后，库尔图瓦又荣膺国际足联最佳门将，年末也入选金球奖30人候选。　　但是在以3500万欧的转会费加盟皇马后，库尔图瓦却与银河战舰一起陷入低迷，一个四大皆空的赛季中，库尔图瓦一次次被打裆下，一次次被戏耍，成为了人们口中的笑柄。皇马卖走了一位50+（C罗），又引进了一位50+（库尔图瓦），是当时最常见的段子。　　但人生就是起起伏伏，库尔图瓦也在这两个月迎来了触底反弹。最近9轮西甲，他零封了多达7场，仅丢2球，如果不是皇马进攻乏力，踢出3场0-0，他们有机会在西甲拿到更多的积分。　　零封越来越多，状态越来越好，扑救越来越多，失误越来越少。冠军来了，皇马球迷也可以喊出“真香”，给库尔图瓦更多“如爹般”的待遇。　　门线前，库尔图瓦一次次拯救皇马，更重要的是，他拯救了自己。　　本文来自公众号@搜达足球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/gif_image/780/w500h280/20200113/cceb-imztzhn2800267.gif	原标题：一句真香！皇马球迷等待了一年半，终于等到最好的他　　裆下空间小，但库尔图瓦的裆下格外大。　　球门空间大，但库尔图瓦守的门格外小。　　两个月，从裤袜到库爹，库尔图瓦改变了自己在皇马球迷心目中的地位，西班牙超级杯决赛的马德里德比，面对旧主的各种轰炸，库尔图瓦只手遮天，力保球门不失。　　点球大战，身高1米99的库尔图瓦张开双臂，几乎覆盖了整个球门，也给了主罚球员强大压力，第一个登场的萨乌尔选择了刁钻的角度，虽然骗过库尔图瓦，却击中了门柱。　　第二个登场的托马斯，则被库尔图瓦扑出了点球。　　最终，皇马点球击败马竞，夺得西班牙超级杯冠军，库尔图瓦也夺得了世俱杯后，自己皇马生涯的第二冠。　　在赛后WhoScored的球员评分中，库尔图瓦得到了全场最高的9.0分，官方的最佳球员则给了同样发挥出色的F。巴尔韦德。　　终于，在2020年初，加盟皇马已一年半的库尔图瓦，赢得了“呼吸权”。　　2019年10月19日，皇马在西甲第9轮客场0-1负于马洛卡，自此，皇马门将库尔图瓦在加盟后的44场比赛中丢了整整60球，仅12次零封，场均丢球1.36，零封率仅27%。　　这个日期，成为库尔图瓦皇马生涯的转折。　　此后，库尔图瓦为皇马出场14次，仅丢5球，多达10场零封，场均丢球0.36，零封率71%！　　从裤袜，到库爹，库尔图瓦终于赢得了挑剔的皇马球迷的认可。　　库尔图瓦的皇马生涯，从一开始便遍布荆棘。皇马球迷并不待见他，毕竟兢兢业业的纳瓦斯已经赢得了皇马球迷的认可和喜爱，老爵爷却一心想要找人替换他，多次求购德赫亚无果后，最终选择了库尔图瓦。　　切尔西球迷对库尔图瓦的执意出走非常不满，因为蓝军不得不用8000万欧天价砸下凯帕。老东家马竞的球迷也与库尔图瓦恩断义绝，在他转会同城死敌后对他的纪念牌进行破坏。　　接连被前东家、现东家、老东家的球迷质疑，库尔图瓦带着争议开始了自己的皇马生涯。其实，想赢得皇马球迷的认可，库尔图瓦只需要球场上出色的表现，“真香定律”就会出现。但皇马球迷迟迟没有等待真香，却看着库尔图瓦经历着职业生涯最大的滑坡。　　2018年原本是库尔图瓦职业生涯最高光的一年。库尔图瓦随比利时获得世界杯季军，同时荣膺世界杯金手套奖，世界杯后，库尔图瓦又荣膺国际足联最佳门将，年末也入选金球奖30人候选。　　但是在以3500万欧的转会费加盟皇马后，库尔图瓦却与银河战舰一起陷入低迷，一个四大皆空的赛季中，库尔图瓦一次次被打裆下，一次次被戏耍，成为了人们口中的笑柄。皇马卖走了一位50+（C罗），又引进了一位50+（库尔图瓦），是当时最常见的段子。　　但人生就是起起伏伏，库尔图瓦也在这两个月迎来了触底反弹。最近9轮西甲，他零封了多达7场，仅丢2球，如果不是皇马进攻乏力，踢出3场0-0，他们有机会在西甲拿到更多的积分。　　零封越来越多，状态越来越好，扑救越来越多，失误越来越少。冠军来了，皇马球迷也可以喊出“真香”，给库尔图瓦更多“如爹般”的待遇。　　门线前，库尔图瓦一次次拯救皇马，更重要的是，他拯救了自己。　　本文来自公众号@搜达足球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/crawl/149/w550h399/20200113/47c6-imztzhn2800348.jpg	原标题：一句真香！皇马球迷等待了一年半，终于等到最好的他　　裆下空间小，但库尔图瓦的裆下格外大。　　球门空间大，但库尔图瓦守的门格外小。　　两个月，从裤袜到库爹，库尔图瓦改变了自己在皇马球迷心目中的地位，西班牙超级杯决赛的马德里德比，面对旧主的各种轰炸，库尔图瓦只手遮天，力保球门不失。　　点球大战，身高1米99的库尔图瓦张开双臂，几乎覆盖了整个球门，也给了主罚球员强大压力，第一个登场的萨乌尔选择了刁钻的角度，虽然骗过库尔图瓦，却击中了门柱。　　第二个登场的托马斯，则被库尔图瓦扑出了点球。　　最终，皇马点球击败马竞，夺得西班牙超级杯冠军，库尔图瓦也夺得了世俱杯后，自己皇马生涯的第二冠。　　在赛后WhoScored的球员评分中，库尔图瓦得到了全场最高的9.0分，官方的最佳球员则给了同样发挥出色的F。巴尔韦德。　　终于，在2020年初，加盟皇马已一年半的库尔图瓦，赢得了“呼吸权”。　　2019年10月19日，皇马在西甲第9轮客场0-1负于马洛卡，自此，皇马门将库尔图瓦在加盟后的44场比赛中丢了整整60球，仅12次零封，场均丢球1.36，零封率仅27%。　　这个日期，成为库尔图瓦皇马生涯的转折。　　此后，库尔图瓦为皇马出场14次，仅丢5球，多达10场零封，场均丢球0.36，零封率71%！　　从裤袜，到库爹，库尔图瓦终于赢得了挑剔的皇马球迷的认可。　　库尔图瓦的皇马生涯，从一开始便遍布荆棘。皇马球迷并不待见他，毕竟兢兢业业的纳瓦斯已经赢得了皇马球迷的认可和喜爱，老爵爷却一心想要找人替换他，多次求购德赫亚无果后，最终选择了库尔图瓦。　　切尔西球迷对库尔图瓦的执意出走非常不满，因为蓝军不得不用8000万欧天价砸下凯帕。老东家马竞的球迷也与库尔图瓦恩断义绝，在他转会同城死敌后对他的纪念牌进行破坏。　　接连被前东家、现东家、老东家的球迷质疑，库尔图瓦带着争议开始了自己的皇马生涯。其实，想赢得皇马球迷的认可，库尔图瓦只需要球场上出色的表现，“真香定律”就会出现。但皇马球迷迟迟没有等待真香，却看着库尔图瓦经历着职业生涯最大的滑坡。　　2018年原本是库尔图瓦职业生涯最高光的一年。库尔图瓦随比利时获得世界杯季军，同时荣膺世界杯金手套奖，世界杯后，库尔图瓦又荣膺国际足联最佳门将，年末也入选金球奖30人候选。　　但是在以3500万欧的转会费加盟皇马后，库尔图瓦却与银河战舰一起陷入低迷，一个四大皆空的赛季中，库尔图瓦一次次被打裆下，一次次被戏耍，成为了人们口中的笑柄。皇马卖走了一位50+（C罗），又引进了一位50+（库尔图瓦），是当时最常见的段子。　　但人生就是起起伏伏，库尔图瓦也在这两个月迎来了触底反弹。最近9轮西甲，他零封了多达7场，仅丢2球，如果不是皇马进攻乏力，踢出3场0-0，他们有机会在西甲拿到更多的积分。　　零封越来越多，状态越来越好，扑救越来越多，失误越来越少。冠军来了，皇马球迷也可以喊出“真香”，给库尔图瓦更多“如爹般”的待遇。　　门线前，库尔图瓦一次次拯救皇马，更重要的是，他拯救了自己。　　本文来自公众号@搜达足球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/crawl/116/w550h366/20200113/01d6-imztzhn2800409.jpg	原标题：一句真香！皇马球迷等待了一年半，终于等到最好的他　　裆下空间小，但库尔图瓦的裆下格外大。　　球门空间大，但库尔图瓦守的门格外小。　　两个月，从裤袜到库爹，库尔图瓦改变了自己在皇马球迷心目中的地位，西班牙超级杯决赛的马德里德比，面对旧主的各种轰炸，库尔图瓦只手遮天，力保球门不失。　　点球大战，身高1米99的库尔图瓦张开双臂，几乎覆盖了整个球门，也给了主罚球员强大压力，第一个登场的萨乌尔选择了刁钻的角度，虽然骗过库尔图瓦，却击中了门柱。　　第二个登场的托马斯，则被库尔图瓦扑出了点球。　　最终，皇马点球击败马竞，夺得西班牙超级杯冠军，库尔图瓦也夺得了世俱杯后，自己皇马生涯的第二冠。　　在赛后WhoScored的球员评分中，库尔图瓦得到了全场最高的9.0分，官方的最佳球员则给了同样发挥出色的F。巴尔韦德。　　终于，在2020年初，加盟皇马已一年半的库尔图瓦，赢得了“呼吸权”。　　2019年10月19日，皇马在西甲第9轮客场0-1负于马洛卡，自此，皇马门将库尔图瓦在加盟后的44场比赛中丢了整整60球，仅12次零封，场均丢球1.36，零封率仅27%。　　这个日期，成为库尔图瓦皇马生涯的转折。　　此后，库尔图瓦为皇马出场14次，仅丢5球，多达10场零封，场均丢球0.36，零封率71%！　　从裤袜，到库爹，库尔图瓦终于赢得了挑剔的皇马球迷的认可。　　库尔图瓦的皇马生涯，从一开始便遍布荆棘。皇马球迷并不待见他，毕竟兢兢业业的纳瓦斯已经赢得了皇马球迷的认可和喜爱，老爵爷却一心想要找人替换他，多次求购德赫亚无果后，最终选择了库尔图瓦。　　切尔西球迷对库尔图瓦的执意出走非常不满，因为蓝军不得不用8000万欧天价砸下凯帕。老东家马竞的球迷也与库尔图瓦恩断义绝，在他转会同城死敌后对他的纪念牌进行破坏。　　接连被前东家、现东家、老东家的球迷质疑，库尔图瓦带着争议开始了自己的皇马生涯。其实，想赢得皇马球迷的认可，库尔图瓦只需要球场上出色的表现，“真香定律”就会出现。但皇马球迷迟迟没有等待真香，却看着库尔图瓦经历着职业生涯最大的滑坡。　　2018年原本是库尔图瓦职业生涯最高光的一年。库尔图瓦随比利时获得世界杯季军，同时荣膺世界杯金手套奖，世界杯后，库尔图瓦又荣膺国际足联最佳门将，年末也入选金球奖30人候选。　　但是在以3500万欧的转会费加盟皇马后，库尔图瓦却与银河战舰一起陷入低迷，一个四大皆空的赛季中，库尔图瓦一次次被打裆下，一次次被戏耍，成为了人们口中的笑柄。皇马卖走了一位50+（C罗），又引进了一位50+（库尔图瓦），是当时最常见的段子。　　但人生就是起起伏伏，库尔图瓦也在这两个月迎来了触底反弹。最近9轮西甲，他零封了多达7场，仅丢2球，如果不是皇马进攻乏力，踢出3场0-0，他们有机会在西甲拿到更多的积分。　　零封越来越多，状态越来越好，扑救越来越多，失误越来越少。冠军来了，皇马球迷也可以喊出“真香”，给库尔图瓦更多“如爹般”的待遇。　　门线前，库尔图瓦一次次拯救皇马，更重要的是，他拯救了自己。　　本文来自公众号@搜达足球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/crawl/300/w550h550/20200113/6dc3-imztzhn2800471.jpg	原标题：一句真香！皇马球迷等待了一年半，终于等到最好的他　　裆下空间小，但库尔图瓦的裆下格外大。　　球门空间大，但库尔图瓦守的门格外小。　　两个月，从裤袜到库爹，库尔图瓦改变了自己在皇马球迷心目中的地位，西班牙超级杯决赛的马德里德比，面对旧主的各种轰炸，库尔图瓦只手遮天，力保球门不失。　　点球大战，身高1米99的库尔图瓦张开双臂，几乎覆盖了整个球门，也给了主罚球员强大压力，第一个登场的萨乌尔选择了刁钻的角度，虽然骗过库尔图瓦，却击中了门柱。　　第二个登场的托马斯，则被库尔图瓦扑出了点球。　　最终，皇马点球击败马竞，夺得西班牙超级杯冠军，库尔图瓦也夺得了世俱杯后，自己皇马生涯的第二冠。　　在赛后WhoScored的球员评分中，库尔图瓦得到了全场最高的9.0分，官方的最佳球员则给了同样发挥出色的F。巴尔韦德。　　终于，在2020年初，加盟皇马已一年半的库尔图瓦，赢得了“呼吸权”。　　2019年10月19日，皇马在西甲第9轮客场0-1负于马洛卡，自此，皇马门将库尔图瓦在加盟后的44场比赛中丢了整整60球，仅12次零封，场均丢球1.36，零封率仅27%。　　这个日期，成为库尔图瓦皇马生涯的转折。　　此后，库尔图瓦为皇马出场14次，仅丢5球，多达10场零封，场均丢球0.36，零封率71%！　　从裤袜，到库爹，库尔图瓦终于赢得了挑剔的皇马球迷的认可。　　库尔图瓦的皇马生涯，从一开始便遍布荆棘。皇马球迷并不待见他，毕竟兢兢业业的纳瓦斯已经赢得了皇马球迷的认可和喜爱，老爵爷却一心想要找人替换他，多次求购德赫亚无果后，最终选择了库尔图瓦。　　切尔西球迷对库尔图瓦的执意出走非常不满，因为蓝军不得不用8000万欧天价砸下凯帕。老东家马竞的球迷也与库尔图瓦恩断义绝，在他转会同城死敌后对他的纪念牌进行破坏。　　接连被前东家、现东家、老东家的球迷质疑，库尔图瓦带着争议开始了自己的皇马生涯。其实，想赢得皇马球迷的认可，库尔图瓦只需要球场上出色的表现，“真香定律”就会出现。但皇马球迷迟迟没有等待真香，却看着库尔图瓦经历着职业生涯最大的滑坡。　　2018年原本是库尔图瓦职业生涯最高光的一年。库尔图瓦随比利时获得世界杯季军，同时荣膺世界杯金手套奖，世界杯后，库尔图瓦又荣膺国际足联最佳门将，年末也入选金球奖30人候选。　　但是在以3500万欧的转会费加盟皇马后，库尔图瓦却与银河战舰一起陷入低迷，一个四大皆空的赛季中，库尔图瓦一次次被打裆下，一次次被戏耍，成为了人们口中的笑柄。皇马卖走了一位50+（C罗），又引进了一位50+（库尔图瓦），是当时最常见的段子。　　但人生就是起起伏伏，库尔图瓦也在这两个月迎来了触底反弹。最近9轮西甲，他零封了多达7场，仅丢2球，如果不是皇马进攻乏力，踢出3场0-0，他们有机会在西甲拿到更多的积分。　　零封越来越多，状态越来越好，扑救越来越多，失误越来越少。冠军来了，皇马球迷也可以喊出“真香”，给库尔图瓦更多“如爹般”的待遇。　　门线前，库尔图瓦一次次拯救皇马，更重要的是，他拯救了自己。　　本文来自公众号@搜达足球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/crawl/437/w550h687/20200113/3dbe-imztzhn2800552.jpg	原标题：一句真香！皇马球迷等待了一年半，终于等到最好的他　　裆下空间小，但库尔图瓦的裆下格外大。　　球门空间大，但库尔图瓦守的门格外小。　　两个月，从裤袜到库爹，库尔图瓦改变了自己在皇马球迷心目中的地位，西班牙超级杯决赛的马德里德比，面对旧主的各种轰炸，库尔图瓦只手遮天，力保球门不失。　　点球大战，身高1米99的库尔图瓦张开双臂，几乎覆盖了整个球门，也给了主罚球员强大压力，第一个登场的萨乌尔选择了刁钻的角度，虽然骗过库尔图瓦，却击中了门柱。　　第二个登场的托马斯，则被库尔图瓦扑出了点球。　　最终，皇马点球击败马竞，夺得西班牙超级杯冠军，库尔图瓦也夺得了世俱杯后，自己皇马生涯的第二冠。　　在赛后WhoScored的球员评分中，库尔图瓦得到了全场最高的9.0分，官方的最佳球员则给了同样发挥出色的F。巴尔韦德。　　终于，在2020年初，加盟皇马已一年半的库尔图瓦，赢得了“呼吸权”。　　2019年10月19日，皇马在西甲第9轮客场0-1负于马洛卡，自此，皇马门将库尔图瓦在加盟后的44场比赛中丢了整整60球，仅12次零封，场均丢球1.36，零封率仅27%。　　这个日期，成为库尔图瓦皇马生涯的转折。　　此后，库尔图瓦为皇马出场14次，仅丢5球，多达10场零封，场均丢球0.36，零封率71%！　　从裤袜，到库爹，库尔图瓦终于赢得了挑剔的皇马球迷的认可。　　库尔图瓦的皇马生涯，从一开始便遍布荆棘。皇马球迷并不待见他，毕竟兢兢业业的纳瓦斯已经赢得了皇马球迷的认可和喜爱，老爵爷却一心想要找人替换他，多次求购德赫亚无果后，最终选择了库尔图瓦。　　切尔西球迷对库尔图瓦的执意出走非常不满，因为蓝军不得不用8000万欧天价砸下凯帕。老东家马竞的球迷也与库尔图瓦恩断义绝，在他转会同城死敌后对他的纪念牌进行破坏。　　接连被前东家、现东家、老东家的球迷质疑，库尔图瓦带着争议开始了自己的皇马生涯。其实，想赢得皇马球迷的认可，库尔图瓦只需要球场上出色的表现，“真香定律”就会出现。但皇马球迷迟迟没有等待真香，却看着库尔图瓦经历着职业生涯最大的滑坡。　　2018年原本是库尔图瓦职业生涯最高光的一年。库尔图瓦随比利时获得世界杯季军，同时荣膺世界杯金手套奖，世界杯后，库尔图瓦又荣膺国际足联最佳门将，年末也入选金球奖30人候选。　　但是在以3500万欧的转会费加盟皇马后，库尔图瓦却与银河战舰一起陷入低迷，一个四大皆空的赛季中，库尔图瓦一次次被打裆下，一次次被戏耍，成为了人们口中的笑柄。皇马卖走了一位50+（C罗），又引进了一位50+（库尔图瓦），是当时最常见的段子。　　但人生就是起起伏伏，库尔图瓦也在这两个月迎来了触底反弹。最近9轮西甲，他零封了多达7场，仅丢2球，如果不是皇马进攻乏力，踢出3场0-0，他们有机会在西甲拿到更多的积分。　　零封越来越多，状态越来越好，扑救越来越多，失误越来越少。冠军来了，皇马球迷也可以喊出“真香”，给库尔图瓦更多“如爹般”的待遇。　　门线前，库尔图瓦一次次拯救皇马，更重要的是，他拯救了自己。　　本文来自公众号@搜达足球　　（声明：本文仅代表作者观点，不代表新浪网立场。）
