http://sports.sina.com.cn/zl/football/2020-01-13/zldoc-iihnzhha2102306.shtml#J_Comment_Wrap
国奥踢不出两场“犹荣”之败_新浪竞技风暴_新浪网
2020-01-13
//beacon.sina.com.cn/a.gif?noScript	国奥踢不出两场“犹荣”之败_新浪竞技风暴_新浪网
http://www.sinaimg.cn/dy/deco/2013/0822/imgs/news_logo.png	国奥踢不出两场“犹荣”之败_新浪竞技风暴_新浪网
http://www.sinaimg.cn/ty/2011hqj/0624/sports_zl_0702.png	国奥踢不出两场“犹荣”之败_新浪竞技风暴_新浪网
http://n.sinaimg.cn/sports/transform/0/w500h300/20200113/a325-imztzhn2945904.jpg	原标题：技不如人！国奥踢不出两场“犹荣”之败　　一支球队功底如何，只看一场比赛是得不出真实结论的。国奥首战韩国虽然压哨惜败，但还是踢出了不逊于对手的斗志和水准，不过要是就此认为郝伟的弟子们已经可以比肩韩国同龄球员了，那一定会产生误判。因为3天后再战卫冕冠军乌兹别克斯坦，首发阵容仅换了两个人的国奥，便遭遇了一场过程和结果均处于绝对下风的完败。（结果一样，但过程却千差万别）　　国奥对韩国为什么虽败犹荣？因为憋着一股劲儿，队员们把所有的能量都迸发出来跟韩国拼杀，而视国奥为组内最弱对手的韩国对此预判不到位，于是一个最差的韩国碰上了一个最好的国奥，所以韩国幸运地赢了结果，国奥倾其所有赢了过程。（不全力以赴没有任何希望）　　然而，国奥与韩国的最大差距，就在于韩国是冲着夺冠或至少拿到奥运参赛资格的目标去的，这要求他们必须合理分配小组赛和淘汰赛每场比赛的精力，第一战更是重在找感觉、适应环境和氛围，不急于出状态；国奥不然，身处死亡之组出线概率不高，每一场比赛都得全力以赴。（身心疲惫导致破绽百出）　　因此，韩国险胜国奥后心力体力迅速复苏，再战伊朗获得连胜，而国奥对韩国拼得太凶、消耗过大，读秒阶段惨遭绝杀又挫伤士气，3天时间根本恢复不过来，身心疲惫之下迎来比韩国更难对付的乌兹别克斯坦，攻守两端破绽百出，队员们跑不动、跟不上，节奏明显慢半拍，只能被对手牵着鼻子走，输得无话可说。（实力根本不在一个层面）　　换个角度，小组首战中韩两队彼此生疏，甚至韩国在明处国奥在暗处，国奥尚可扬长避短打韩国之立足未稳；第二战国奥已无秘密可言，技高一筹的乌兹别克斯坦只要赛前做足功课，对国奥之长进行针对性限制，再集中力量打击国奥之短，后继乏力的国奥便只得束手就擒。（欠下的账太多，哪是几天能还完）　　  归根结底，国奥尽力了，他们输在技不如人。凭借精神因素带动技战术能力超常发挥打好一场比赛不难，难的是状态的稳定性和能力的持续性。中国足球欠账太多，这批国奥适龄球员先天不足，期待他们横空出世创造奇迹无异于天方夜谭。一梦醒来，还要回到残酷的现实。抛弃一切幻想，从清偿第一笔债务做起，待无债一身清那天到来，自会好梦成真。　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/crawl/21/w550h271/20200113/10ab-imztzhn2927155.jpg	（结果一样，但过程却千差万别）
http://n.sinaimg.cn/sports/crawl/87/w550h337/20200113/2bc2-imztzhn2927274.jpg	（不全力以赴没有任何希望）
http://n.sinaimg.cn/sports/crawl/70/w550h320/20200113/f3f7-imztzhn2927346.jpg	（身心疲惫导致破绽百出）
http://n.sinaimg.cn/sports/crawl/39/w550h289/20200113/a469-imztzhn2927416.jpg	（实力根本不在一个层面）
http://n.sinaimg.cn/sports/crawl/80/w550h330/20200113/5334-imztzhn2927483.jpg	（欠下的账太多，哪是几天能还完）
http://i3.sinaimg.cn/IT/deco/2013/0401/csj/img_default.png	尹波
http://n.sinaimg.cn/sports/transform/0/w500h300/20200113/bd15-imztzhn2912948.jpg	伊布这种让人又爱又恨的天才
http://n.sinaimg.cn/sports/transform/0/w500h300/20200113/e53d-imztzhn2840178.jpg	奥运会上想抗议 请三思
http://n.sinaimg.cn/sports/transform/0/w500h300/20200113/8a9b-imztzhn2805715.jpg	最好的他让皇马球迷等待1年半
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132910_1.jpg	黄健翔
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132909.jpg	颜强
http://i3.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132911.jpg	董路
http://i1.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132908_1.jpg	杨毅
http://i2.sinaimg.cn/ty/2013/0609/U7503P6DT20130609132910.jpg	苏群
http://i0.sinaimg.cn/ty/2013/0717/U5295P6DT20130717144731.jpg	米卢
