http://sports.sina.com.cn/zl/football/2020-02-04/zldoc-iimxyqvz0124543.shtml#J_Comment_Wrap
颜强专栏：读懂曼联新援B费的合同_新浪竞技风暴_新浪网
2020-02-04
//beacon.sina.com.cn/a.gif?noScript	颜强专栏：读懂曼联新援B费的合同_新浪竞技风暴_新浪网
http://www.sinaimg.cn/dy/deco/2013/0822/imgs/news_logo.png	颜强专栏：读懂曼联新援B费的合同_新浪竞技风暴_新浪网
http://www.sinaimg.cn/ty/2011hqj/0624/sports_zl_0702.png	颜强专栏：读懂曼联新援B费的合同_新浪竞技风暴_新浪网
http://n.sinaimg.cn/sports/transform/0/w500h300/20200204/b836-inzcrxs1396936.jpg	颜强专栏：转会费8000万欧元包含哪些条款？读懂曼联新援B费的合同　　布鲁诺·费尔南德斯（球迷昵称B费）终于穿上了曼联球衣，代表红魔站上了英超赛场。　　这是一次“冬季标王”的转会，牵涉到的转会金额巨大，合同组成复杂。媒体传播时，总喜欢选一个最大值的数字作为传播口径，但实际上，一笔转会费的构成，以及球员和俱乐部的合同细则，比这样一个简单数字要复杂太多。B费加盟曼联　　B费从葡萄牙体育加盟曼联，耗时长久，一波三折。25岁的葡萄牙国脚中场，来到曼联卡灵顿基地的时间，是在2020年的1月30日上午，当天他要完成了转会体检，然后签订了一份4年半的合同。　　这份合同的具体情况，和绝大部分国际转会一样，远不是“转会费8000万欧元”那么简单。　　合同时限4年半，但同时还有一个俱乐部选择权的续约1年的选项。根据英国一些媒体报道，曼联和葡萄牙体育之间，相关交易的操作组成也非常繁琐：　　首先曼联要立即支付5500万欧元的第一笔支付费用，大约相当4660万英镑。而在首笔支付之外，各种转会附加性的条款，还有可能会达到2500万欧元，约2110万英镑。　　转会费条件构成的各种细节，都属于“刺激性条款”。例如费尔南德斯在曼联的首发次数，和附加性条款相关：他最开始加盟期间的上场状况，只要首发每满5场比赛，曼联就需要给葡萄牙体育支付100万欧元，直到他实现了在曼联第25次的比赛首发。这就构成了转会费附加部分的500万欧元。费尔南德斯能否改善曼联中前场乏力问题？　　理论上，在2020年2月，曼联因为有英超联赛、欧联杯和布鲁日的两回合比赛，如果布鲁诺如同他对狼队这场联赛一样，场场都首发，曼联就需要支付他们的第一笔附加性转会费用——100万欧元。　　附加性条件还包括团队成绩和个人成就两个部分：如果曼联在未来5个赛季当中，只要打进欧冠1次，曼联就需要给葡萄牙体育支付500万欧元。　　个人成就相关的条款，例如费尔南德斯如果能在效力曼联期间，成为英国职业球员公会（PFA）的年度最佳球员，或者他效力曼联期间进入到金球奖评选前三位，那每一次曼联都要给葡萄牙体育支付500万欧元。　　关于个人成就也有上限——当选PFA最佳或者金球奖前三，这样的情况可以发生3次，3次以上就不需要额外支付费用了，所以这方面的上限是1500万欧元。　　综合统计下来，最大程度上，布鲁诺·费尔南德斯的这笔转会费，能够达到8000万欧元，大约6770万英镑。费尔南德斯代表曼联出战，但红魔依旧未能取胜　　2月1日，曼联主场对狼队的联赛，费尔南德斯首发，开始了他的曼联的生涯，这场比赛他被评为曼联全场最佳，有不错的进攻表现，但最终比赛还是0-0平——费尔南德斯的第一场比赛，并没有完全改变曼联中前场创造力不够的状况。　　他的薪资也值得研究，有英国报纸显示布鲁诺·费尔南德斯周薪可能只有7万英镑，这样的薪资数字肯定不准确，因为这会是曼联一队当中也许最低的。　　更可能的状况，应该是加上一些不是太难达到的激励性条款，他的周薪会在15万英镑上下。但这样一个数字，在曼联一队当中同样不算太高：　　桑切斯周薪35万英镑、博格巴29万英镑、马夏尔25万英镑，德赫亚续约后，也在30万英镑上下。另外像“夏窗标王”马奎尔，周薪19万到20万英镑、卢克·肖也有16万英镑、马塔14万英镑。　　这样换算下来，费尔南德斯4年半合同，15万英镑周薪，薪资总额大概3000万英镑，相当于转会费一半。从这个角度来看，他只要表现中规中矩，未来肯定有涨薪可能。　　当然对于曼联来说，只要球员打出身价，之后如何变现或实现利益最大化有的是办法，但当务之急，还是他们需要3分，需要胜利。　　本文来自公众号@颜强　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://n.sinaimg.cn/sports/crawl/142/w550h392/20200204/199c-inzcrxs1387764.jpg	B费加盟曼联
http://n.sinaimg.cn/sports/crawl/142/w550h392/20200204/6668-inzcrxs1387846.jpg	费尔南德斯能否改善曼联中前场乏力问题？
http://n.sinaimg.cn/sports/crawl/91/w550h341/20200204/7ece-inzcrxs1387881.jpg	费尔南德斯代表曼联出战，但红魔依旧未能取胜
http://n.sinaimg.cn/sports/crawl/43/w550h293/20200204/1922-inzcrxs1387931.jpg	颜强专栏：转会费8000万欧元包含哪些条款？读懂曼联新援B费的合同　　布鲁诺·费尔南德斯（球迷昵称B费）终于穿上了曼联球衣，代表红魔站上了英超赛场。　　这是一次“冬季标王”的转会，牵涉到的转会金额巨大，合同组成复杂。媒体传播时，总喜欢选一个最大值的数字作为传播口径，但实际上，一笔转会费的构成，以及球员和俱乐部的合同细则，比这样一个简单数字要复杂太多。B费加盟曼联　　B费从葡萄牙体育加盟曼联，耗时长久，一波三折。25岁的葡萄牙国脚中场，来到曼联卡灵顿基地的时间，是在2020年的1月30日上午，当天他要完成了转会体检，然后签订了一份4年半的合同。　　这份合同的具体情况，和绝大部分国际转会一样，远不是“转会费8000万欧元”那么简单。　　合同时限4年半，但同时还有一个俱乐部选择权的续约1年的选项。根据英国一些媒体报道，曼联和葡萄牙体育之间，相关交易的操作组成也非常繁琐：　　首先曼联要立即支付5500万欧元的第一笔支付费用，大约相当4660万英镑。而在首笔支付之外，各种转会附加性的条款，还有可能会达到2500万欧元，约2110万英镑。　　转会费条件构成的各种细节，都属于“刺激性条款”。例如费尔南德斯在曼联的首发次数，和附加性条款相关：他最开始加盟期间的上场状况，只要首发每满5场比赛，曼联就需要给葡萄牙体育支付100万欧元，直到他实现了在曼联第25次的比赛首发。这就构成了转会费附加部分的500万欧元。费尔南德斯能否改善曼联中前场乏力问题？　　理论上，在2020年2月，曼联因为有英超联赛、欧联杯和布鲁日的两回合比赛，如果布鲁诺如同他对狼队这场联赛一样，场场都首发，曼联就需要支付他们的第一笔附加性转会费用——100万欧元。　　附加性条件还包括团队成绩和个人成就两个部分：如果曼联在未来5个赛季当中，只要打进欧冠1次，曼联就需要给葡萄牙体育支付500万欧元。　　个人成就相关的条款，例如费尔南德斯如果能在效力曼联期间，成为英国职业球员公会（PFA）的年度最佳球员，或者他效力曼联期间进入到金球奖评选前三位，那每一次曼联都要给葡萄牙体育支付500万欧元。　　关于个人成就也有上限——当选PFA最佳或者金球奖前三，这样的情况可以发生3次，3次以上就不需要额外支付费用了，所以这方面的上限是1500万欧元。　　综合统计下来，最大程度上，布鲁诺·费尔南德斯的这笔转会费，能够达到8000万欧元，大约6770万英镑。费尔南德斯代表曼联出战，但红魔依旧未能取胜　　2月1日，曼联主场对狼队的联赛，费尔南德斯首发，开始了他的曼联的生涯，这场比赛他被评为曼联全场最佳，有不错的进攻表现，但最终比赛还是0-0平——费尔南德斯的第一场比赛，并没有完全改变曼联中前场创造力不够的状况。　　他的薪资也值得研究，有英国报纸显示布鲁诺·费尔南德斯周薪可能只有7万英镑，这样的薪资数字肯定不准确，因为这会是曼联一队当中也许最低的。　　更可能的状况，应该是加上一些不是太难达到的激励性条款，他的周薪会在15万英镑上下。但这样一个数字，在曼联一队当中同样不算太高：　　桑切斯周薪35万英镑、博格巴29万英镑、马夏尔25万英镑，德赫亚续约后，也在30万英镑上下。另外像“夏窗标王”马奎尔，周薪19万到20万英镑、卢克·肖也有16万英镑、马塔14万英镑。　　这样换算下来，费尔南德斯4年半合同，15万英镑周薪，薪资总额大概3000万英镑，相当于转会费一半。从这个角度来看，他只要表现中规中矩，未来肯定有涨薪可能。　　当然对于曼联来说，只要球员打出身价，之后如何变现或实现利益最大化有的是办法，但当务之急，还是他们需要3分，需要胜利。　　本文来自公众号@颜强　　（声明：本文仅代表作者观点，不代表新浪网立场。）
http://www.sinaimg.cn/ty/zl/author/yanqiang/idx/2013/0618/U5295P6T1235D4F36855DT20130618181357.jpg	颜强
http://n.sinaimg.cn/sports/transform/0/w500h300/20200211/b2e9-ipfprtp7043715.jpg	钟承湛：疫情对生意影响大
http://n.sinaimg.cn/sports/transform/0/w500h300/20200204/4a4d-inzcrxs1425377.jpg	国安的备战拉练是中超的典范
